# session_start_unix_us=1780928099465953
# session_end_unix_us=1780930567823978
block,trial,trail_timestamp,rt,correct,time_limit,timed_out,onset_unix,response_unix
baseline,22,2026-06-08 16:48:16.854306,1.0687631000000692,True,,,1780930096869350,1780930097922685
baseline,23,2026-06-08 16:48:18.737827,0.734424800000852,True,,,1780930098753233,1780930099472486
baseline,24,2026-06-08 16:48:20.287982,0.917233899999701,True,,,1780930100302765,1780930101204745
baseline,25,2026-06-08 16:48:22.021479,0.9352252000007866,True,,,1780930102035650,1780930102956532
baseline,26,2026-06-08 16:48:23.770769,0.7520711999986815,True,,,1780930103786126,1780930104522561
baseline,27,2026-06-08 16:48:25.337969,0.6682966999997006,True,,,1780930105353047,1780930106006075
baseline,28,2026-06-08 16:48:26.820487,0.5181658000001335,False,,,1780930106835333,1780930107338498
baseline,29,2026-06-08 16:48:28.154865,-0.4812999999994645,True,,,1780930108168891,1780930108169900
baseline,30,2026-06-08 16:48:28.987851,1.619521700000405,True,,,1780930109002575,1780930110622594
baseline,31,2026-06-08 16:48:31.437712,0.9684654000011506,True,,,1780930111452747,1780930112405865
baseline,32,2026-06-08 16:48:33.219873,1.236025599999266,True,,,1780930113236297,1780930114455297
baseline,33,2026-06-08 16:48:35.271122,0.8016145000001416,True,,,1780930115285955,1780930116072785
baseline,34,2026-06-08 16:48:36.887657,8.134410000000571,True,,,1780930116902901,1780930125022056
baseline,35,2026-06-08 16:48:45.837220,1.03607379999994,True,,,1780930125853020,1780930126872996
baseline,36,2026-06-08 16:48:47.687371,1.7377388999993855,True,,,1780930127702788,1780930129437523
baseline,37,2026-06-08 16:48:50.254372,1.2507978000012372,True,,,1780930130269711,1780930131504847
baseline,38,2026-06-08 16:48:52.321080,1.4026002999999037,True,,,1780930132336023,1780930133723667
baseline,39,2026-06-08 16:48:54.537875,0.7352324999992561,True,,,1780930134553285,1780930135272716
baseline,40,2026-06-08 16:48:56.086254,0.8699128999996901,True,,,1780930136102856,1780930136955858
baseline,41,2026-06-08 16:48:57.771335,2.2173990000010235,True,,,1780930137786103,1780930139988464
baseline,42,2026-06-08 16:49:00.804638,0.8037098999993759,True,,,1780930140819532,1780930141622498
baseline,43,2026-06-08 16:49:02.436102,0.6193598999998358,True,,,1780930142453066,1780930143055236
baseline,44,2026-06-08 16:49:03.870787,2.985145399999965,True,,,1780930143886119,1780930146855728
baseline,45,2026-06-08 16:49:07.671291,1.1182769999995799,True,,,1780930147686218,1780930148789197
baseline,46,2026-06-08 16:49:09.604790,0.9347401000013633,True,,,1780930149619924,1780930150539452
baseline,47,2026-06-08 16:49:11.354355,1.7842952999999397,True,,,1780930151369437,1780930153138518
baseline,48,2026-06-08 16:49:13.953559,1.103834800000186,True,,,1780930153969544,1780930155056982
baseline,49,2026-06-08 16:49:15.869965,0.7361760999992839,True,,,1780930155885855,1780930156605578
baseline,50,2026-06-08 16:49:17.419929,0.5189011999991635,True,,,1780930157436623,1780930157939109
baseline,51,2026-06-08 16:49:18.754603,0.7027234999986831,True,,,1780930158769361,1780930159456996
baseline,52,2026-06-08 16:49:20.271111,2.067833099999916,True,,,1780930160286671,1780930162338527
baseline,53,2026-06-08 16:49:23.154663,1.2839770999999018,True,,,1780930163169870,1780930164438172
baseline,54,2026-06-08 16:49:25.255110,2.3348689999984344,True,,,1780930165271854,1780930167589583
baseline,55,2026-06-08 16:49:28.403515,0.8530134000011458,True,,,1780930168419461,1780930169256022
baseline,56,2026-06-08 16:49:30.070370,1.0049747000011848,True,,,1780930170086410,1780930171089059
baseline,57,2026-06-08 16:49:31.905141,0.8677219999990484,True,,,1780930171919637,1780930172772745
baseline,58,2026-06-08 16:49:33.586988,0.8690926999988733,True,,,1780930173603372,1780930174455620
baseline,59,2026-06-08 16:49:35.270401,0.7196051999999327,True,,,1780930175286901,1780930175989301
baseline,60,2026-06-08 16:49:36.804833,0.9350389000010182,True,,,1780930176819565,1780930177739605
baseline,61,2026-06-08 16:49:38.554503,0.9686184000001958,True,,,1780930178569693,1780930179523221
baseline,62,2026-06-08 16:49:40.338087,0.7685922000000573,True,,,1780930180352212,1780930181106346
baseline,63,2026-06-08 16:49:41.921560,1.4171967999991466,True,,,1780930181936185,1780930183338533
baseline,64,2026-06-08 16:49:44.153375,0.8366058000010526,True,,,1780930184169653,1780930184989823
baseline,65,2026-06-08 16:49:45.802909,0.8531947000010405,True,,,1780930185820115,1780930186655618
baseline,66,2026-06-08 16:49:47.469933,0.7535234000006312,True,,,1780930187486644,1780930188223737
baseline,67,2026-06-08 16:49:49.036753,0.7519398000004003,True,,,1780930189053321,1780930189788389
baseline,68,2026-06-08 16:49:50.604719,0.936092899999494,True,,,1780930190620200,1780930191540384
baseline,69,2026-06-08 16:49:52.354447,1.736717599998883,True,,,1780930192369925,1780930194105519
baseline,70,2026-06-08 16:49:54.921313,0.8857478000008996,True,,,1780930194936237,1780930195822252
baseline,71,2026-06-08 16:49:56.638262,0.6692949999996927,True,,,1780930196652893,1780930197322075
baseline,72,2026-06-08 16:49:58.137869,1.1011312999999063,True,,,1780930198153003,1780930199238757
baseline,73,2026-06-08 16:50:00.055051,0.9180715000002238,True,,,1780930200069706,1780930200973021
baseline,74,2026-06-08 16:50:01.788354,0.9849653000001126,True,,,1780930201802873,1780930202788931
baseline,75,2026-06-08 16:50:03.605306,0.967992800000502,True,,,1780930203621495,1780930204572862
baseline,76,2026-06-08 16:50:05.387989,0.7351186999985657,True,,,1780930205402864,1780930206122574
baseline,77,2026-06-08 16:50:06.938451,0.651908399999229,True,,,1780930206953643,1780930207589728
baseline,78,2026-06-08 16:50:08.405189,0.650216799998816,True,,,1780930208419685,1780930209055009
baseline,79,2026-06-08 16:50:09.871233,0.9175235000002431,True,,,1780930209886259,1780930210788313
baseline,80,2026-06-08 16:50:11.604709,1.0514256000005844,True,,,1780930211619865,1780930212655816
